,Customer,Type,Text,Summary,sim_score,split
16,Notion,Appstore/Playstore,notion help it signed me out of my account and it wont let me sign in i had a lot of notes on it,"User is unable to sign in to their account and is frustrated with the app, as they had a lot of notes on it.",0.6330443024635315,train
17,figma,Twitter,"This on figma makes no sense Who decided rgba is the default color notation for cssweb Today we have so many color spaces available but designers are stuck with hexrgb 
equinusocio figma Weve hit this a lot with our new design system We use a lot of modern CSS but need fallbacks to represent things in Figma
In the past browsers didnt keep up and couldnt accurately replicate designers work Now its the design tools that are lagging
equinusocio figma Its not a surprise when new features hit browsers  its often gone through years of spec work and Intent to ship  I really wish figma would step up here and be ready to ship things like oklchoklab colormix etc along side browsers"," User shares their experience at Figma Japan office, surrounded by many dharma.",0.1875212341547012,train
18,figma,Twitter,"Teachers We have lots of DonorsChoose funding love left to share Drop your project link below to share with the Figma community
Extra credit Tell us how your project is connected to Figma for Education 
Clearthelist DonorsChoose TeacherTwitter
Alex_FigmaEdu DonorsChoose figma This project currently has a match It is for flexible seating"," The user works a 9-5 job and runs a freelance design business, using various tools to stay organized. They love the lightweight nature of the tools, and find them helpful for staying focused on results.",0.1783485263586044,train
19,Notion,Twitter,Just installed Arc browser browsercompany It looks soo goood And now I have 4 browsers Its going to be fun Arcbrowser,User is excited about the new Arc browser and has 4 browsers now.,0.8388454914093018,train
20,figma,Twitter,"Does anyone have a contact at figma
Im developing a free afterschool design club for children aged 7  11 and want to use Figma 
Id love to talk to someone the about the best way to handle user accounts etc","User worked harder and smarter in Figma instead of using a 3D software, and their design is appreciated.",0.4781972467899322,train
21,Notion,Appstore/Playstore,Just fix this I have to delete the app and download it again every day,"User is frustrated with the app, as they have to delete and download it every day.",0.7681460976600647,train
22,figma,Twitter,RT katiecooperco If your figma files are low on memory and youve taken lengths to reduce file size but dont see an increase in memory," User is optimistic about AI's ability to amplify how we work, live, and create, and is looking forward to the conversation at @Figma's Config.",0.2007647454738617,train
23,figma,Twitter,"Thank you figma for the free Config ticket
Building Figma plugins pays people",The user shared a link to a Figma shortcut cheat sheet and asked what shortcut the user cannot live without.,0.4565153121948242,train
24,zoom,Appstore/Playstore,Fantastic,User finds Zoom fantastic.,0.4585388898849487,train
25,Notion,Twitter,"Excited to join NotionHQ template creators community on Twitter
Great things are coming 
Notion buildinpublic indiedev
soufianeeelc NotionHQ Welcome fellow notioner
The twitter world is an exciting place But to get ahead follow these steps
 Engagement
 Provide Value
Do these simple steps you are ahead of the game
Dont give up brother",User is excited to join the NotionHQ template creators community on Twitter and shares their excitement about the upcoming Notion Conference.,0.7973213195800781,train
26,figma,G2,"ALLOWS LARGE AND REMOTE TEAMS TO COLLABORATE TOGETHER  ITS ALSO A GREAT TOOL FOR CAPTURING NOTES THAT CAN BE LATER ADDED TO OR FURTHER COLLABORATED ON WITH DIFFERENT TEAMS WITHIN DIFFERENT TIME ZONES AT DIFFERENT TIMES TOO
THE ABILITY TO COLLABORATE WITH COLLEAGUES IN A EASY AND QUICK MANNER ESPECIALLY IN A WORKING FROM HOME ENVIRONMENT
SOMETIMES DEPENDING ON THE SIZE OF THE MIRO BOARD THE BOARD CAN BE A LITTLE SLOW TO LOAD WHICH CAN SOMETIMES BE A LITTLE FRUSTRATING","Users appreciate Miro's intuitive interface and the ability to collaborate easily with colleagues using the embedded teams feature. They find it useful for various tasks, from quick workshops to full-fledged service blueprints. However, they experience occasional slowdowns and lagging, especially with large boards.",0.7429470419883728,train
27,Notion,Appstore/Playstore,Just fix this I have to delete the app and download it again every day,"User is frustrated with the app, as they have to delete and download it every day.",0.7681460976600647,train
28,Notion,Twitter,"Seems there is no way to cancel a NotionHQ plus plan Been trying to find the place for 15 mins now with no luck
markessien NotionHQ I usually use virual cards with these kind of services when am done I just delete the virtual card problem solved"," User is frustrated with the lack of a way to cancel their @NotionHQ plus plan, as they have been trying to find the place for 15 minutes without success.",0.8046658039093018,train
29,Notion,Twitter,"How do I create a simple form to capture email addresses
 
NotionAnswers Notion NotionHQ",User is seeking advice on how to create a simple form to capture email addresses in Notion.,0.8854079842567444,train
30,figma,Twitter,RT katiecooperco If your figma files are low on memory and youve taken lengths to reduce file size but dont see an increase in memory," User is optimistic about AI's ability to amplify how we work, live, and create, and is looking forward to the conversation at @Figma's Config.",0.2007647454738617,train
31,Notion,Appstore/Playstore,"After the last update
Only the black screen is loading
The content is ah nothing is appearing
Please restore it",User is experiencing a black screen while loading content after the last update and requests a restore of the app.,0.8214055299758911,train
32,Notion,Twitter,ok this new browsercompany hack is incredible can search youtube directly from the command center by hitting tab after typing in youtube theyre building things so fast,User is excited about the new @browsercompany hack and is impressed with the speed of development.,0.3112114071846008,train
33,Notion,Appstore/Playstore,I bought th pro for 5 euro and i still didnt get it I wanna do ia and it says pay pro pay pro BUT i just bought it 15 min ago and im still not pro on the app please someone contact me Noww,User purchased the pro version for 5 euros but is still not pro on the app. They request assistance to resolve the issue.,0.7943786382675171,train
34,Notion,Twitter,browsercompany Fix Arc browser performance Or make it super easy to learn what makes it so slow I can barely use it anymore now after a few months of getting used to it and getting ready to set it my default browser,User is frustrated with the slow performance of the Arc browser and is considering switching to Chrome or Firefox.,0.8065569996833801,train
35,figma,Twitter,"Teachers We have lots of DonorsChoose funding love left to share Drop your project link below to share with the Figma community
Extra credit Tell us how your project is connected to Figma for Education 
Clearthelist DonorsChoose TeacherTwitter
Alex_FigmaEdu DonorsChoose figma New first grade teacher that randomly took over a classroom in March 
 clearthelist DonorsChoose teachertwitter figma"," User is excited about learning about Framer, a tool for creating prototypes and low-code web building, and is excited to see what they can create with it.",0.1014191582798957,train
36,Notion,Twitter,"Hey guys Im excited to share that notionjoy is now live 
Its a Notion template marketplace built completely using NotionHQ and super_ as I wanted to explore the capabilities of these tools
Please do check it out and let me know what you think  
heyraiu notionjoy NotionHQ super_ Good day I am now using your template for monthly expenses I have changed the currency on my table databases but with the total chart no So how can I change it Thank you"," User is excited about the new Notion template marketplace, which is built using NotionHQ and Super, and plans to use it for monthly expenses.",0.6266701221466064,train
37,Notion,Appstore/Playstore,I wonder if I should go back to One Note its rubbish really,User finds One Note to be rubbish and wonders if they should return to it.,0.8557400703430176,train
38,figma,Twitter,"CONFIG ANNOUNCEMENT AI amp the Future of Design
We know theres a mix of optimism amp uncertainty around how AI will change our industry
Were tackling it all at Config with jsngr amp the diagram team Ovetta Sampson scottbelsky kanjun amp reidhoffman  
figma jsngr diagram scottbelsky kanjun reidhoffman I am currently in the 30day free trial period of using figma However when Figma saw that I am using the free version they left my questions unanswered for the problem low quality export 
What a poor and unprofessional approach
Noctilunary Hi there sorry to hear you are still having issues with exporting If you have already submitted a report can you provide us your email address via DM so we can have a look Thank you 
figma Done","A user discussed how to improve the UI/UX of a website called LoseTheVery, which helps find concise adjectives. They identified three main flaws: messiness, inconsistency in design, and cramped elements. Using Figma, they suggested decluttering by removing unnecessary newsletter elements, adding more whitespace for better visual separation, improving button design for consistency, and simplifying typography by using only two typefaces.",0.2922692596912384,train
39,figma,Twitter,"Did this to learn how to add details to my illustration Found on Behance so I decided to replicate using figma Took me a minute but Im finally done So what do you think 
p_ierre_ theonlydlz figma its lit",User created a kanban board in Figma to track their work and is tired of remembering passwords.,0.2925888001918793,train
40,Notion,Appstore/Playstore,Use it for just about anything It would be cool if you could still work with maps For example as an alternative to the calendar or list view It would be great to log a road trip a travel diary or hikes and bike tours,"User finds Notion useful for various purposes, including working with maps, and suggests adding features such as calendar or list views for logging travel diaries and hikes. They also suggest adding a feature to log road trips.",0.8009311556816101,train
41,Notion,Appstore/Playstore,As a medical student Notion has huge potential to organize my life It has notes calendar tracker and collaborative capabilities Im also enjoying the AI integration I REALLY REALLY wish Notion would include the ability to hand write on iPad I can guarantee the use of Notion by students would absolutely skyrocket The other notes options all lack something and if Notion allowed handwriting over PDF  lecture slides Goodnotes onenote and notability would all go out of business,"User finds Notion to be a useful tool for organizing their life as a medical student, especially appreciating its AI integration and collaborative capabilities. They suggest adding handwriting support for iPad and other note-taking apps, as well as adding more features to the existing options.",0.8502553105354309,train
42,Notion,Appstore/Playstore,Christ almighty I just want to throw my phone out the window as Notion is doing everything but what Im pressing at on my screen Its not fluent and table management is awful,"User is frustrated with Notion, stating it is not fluent and table management is awful.",0.5956388711929321,train
43,figma,G2,"In my organisation I used Figma to collaborate internally with the design team and build creative content templates This helped save the designers bandwidth and dependency too It also acted like a Design Repository for our internal team
I love the intuitive UIUX of the tool It is also straightforward to use drag and drop the design elements A lot of readymade templates make the work effective It is a clean and smooth tool I would like to say
I am not sure but I guess the only thing I miss is a stepbystep guide or tips It would be great to get popup tips as everyone using the software isnt a pro designer","Users appreciate Figma's ease of use and custom plugins for designing different layouts, but they wish for more breakpoint options and full support for tokens and modes. They also find the animation feature glitchy, causing components to revert to their original state, particularly with buttons and hover animations.",0.4660224616527557,train
44,Notion,Appstore/Playstore,Notion is the best productivity app Im using it nearly a week and Im flawless in my work I use the ToDo feature a lot I manage all my current projects with Notion My life is so much easier and so much better Thank you notion God bless you,"User praises Notion as the best productivity app, stating that it has helped them manage their work and projects effectively, making their life easier and better.",0.8443863391876221,train
45,figma,Twitter,"Just noticed that that FigJam marker be lookin thicc when you change its size  cc figma 
miggi figma Figma needs to stop fucking around with these delightful moments and give us more stroke weight options","User appreciates the design party hosted by David Hoang and Figma, calling it a ""Coachella for design"" and mentioning the Config feature as a personal ""Coachella."" They also express gratitude for the opportunity to meet and chat with Amy Limabean.",0.1896539330482483,train
46,Notion,Twitter,"Have now personally converted five different people to Arc Browser feels very weird to be excited to tell people about a browser but seriously this one is a game changer cc browsercompany and joshm
skrishna browsercompany joshm ive been converting everyone ik","User is excited about the new browser, and has converted five people to Arc Browser.",0.8023721575737,train
47,Notion,Twitter,"Spotted AI in the wild 
Resharing some of the coolest ways weve seen our community use Notion AI Hope this inspires you like its inspired us
NotionHQ I tried using Notion AI but I didnt see much benefit I do a lot of summarizing of insights and if it could help with that it would be amazing but when I tried it the result was not usable"," User is excited about the new Notion AI feature, which allows users to create a custom AI for their team and use it to create a summary of their work.",0.7843668460845947,train
48,Notion,Appstore/Playstore,Maybe its time to dump notion and switch to Microsoft loop,User suggests switching to Microsoft Loop instead of Notion.,0.8837203979492188,train
49,Notion,Twitter,"Less than 500 followers and looking for connections Contact me lets engage and support each other on our journey also comment on this tweet with what you do and let everyone know 
carltheauditor Hi Carl
Im a real estate investor coach and mentor based in the UK
Love NotionHQ and use it to run my business I help people use Notion on my Youtube channel and am starting to build Notion templates too
Great to connect",Nothing,0.1221043169498443,train
50,Notion,Appstore/Playstore,Ive only recently been using Notion and Im really impressed but the iPad version is bugged For example I cant color text and more Its a shame it even works on the mobile phone I would rather use the app with a mobile revision,"User is impressed with Notion but is disappointed with the iPad version, which is buggy and doesn't work on mobile phones. They would prefer to use the app on mobile devices instead.",0.8398104906082153,train
51,Notion,Appstore/Playstore,"I absolutely love motion and use it instead of notes for literally everything
I have come across a problem recently though It has been stuck on a loading screen for 5 hours at this point I have been trying to get to my stuff into the pages multiple times during this time period Turing my wifi on and off turning my phone on and off fully updating the app and waiting It was working perfectly fine earlier though It might be my internet but it is currently at 5G and 2 bars Been at 3 bar multiple times throughout this time period of 5 hours I have all the planning for my books on there and I am wanting write But unable to because what I need to look back it as unavoidable because of this loading error It has annoyed me a lot and I hope you can get it fixed Thank you","User loves the app and uses it for everything, but has faced a loading issue for 5 hours, causing them to be unable to access their notes. They have tried restarting their phone, updating the app, and switching to a different network, but the issue persists. They are frustrated and hope for a solution.",0.5592896938323975,train
52,Notion,Twitter,"Spotted AI in the wild 
Resharing some of the coolest ways weve seen our community use Notion AI Hope this inspires you like its inspired us
NotionHQ I was thinking of a google sheets formula comparing two cells and finding the difference and Notions AI found it for me","User is excited about the new Notion AI feature, which allows them to create a custom AI for their team and use it to automate tasks.",0.5131543874740601,train
53,figma,G2,"Now with my Enterprise team in Miro I can manage how my different teams are evolving in Continuous Improvement Initiatives This is very helpful to understand the challenges
Realtime collaboration for different teams Saving money by avoiding business travel for workshops and meetings
It could be more intuitive for early adopters","Users appreciate FigJam's integration with Figma, its collaborative nature, and features like timers, spotlighting, stickers, auto-align tools, and community templates. However, they find mindmaps more challenging compared to competitors and wish for improvements in image resizing and a chat feature for better collaboration.",0.3894301950931549,train
54,Notion,Appstore/Playstore,Ive uninstalled and reinstalled it twice today I dont understand why you cant open it,User has tried uninstalling and reinstalling the product multiple times and is still unable to open it.,0.8148216009140015,train
55,Notion,Appstore/Playstore,Не работает,User is experiencing issues with the product.,0.3227459192276001,train
56,Notion,Twitter,Were hiring a Technical Advisor role for browsercompany If youve been a founder or want to learn what its like to be one this may be a great fit DM me for more,"
User is looking for a job in the tech industry and is interested in working with BrowserCO.",0.6685704588890076,train
57,figma,Twitter,nick__pattison figma This kind of thing worries me I need to satrt saving work offline Have you contact the Figma team Maybe they can find it Maybe one of the team on twitter can help," User suggests creating an OpenAI chatbot and Figma plugin for Josh Taylor, as they believe it's already out there.",0.347595065832138,train
58,Notion,Appstore/Playstore,If there was a calendar in this application it would be really useful,"User finds the application lacking a calendar feature, which would be useful.",0.8763971328735352,train
59,Notion,Twitter,"Ive definitely moved on to brave Goodbye googlechrome of the balls
The great battle iOS VS Android has begun
I use iPhone but damn Apple too
Final Boss Adsense monetize with another platform 
fdefree_ brave googlechrome Im waiting for browsercompany to release your browser to the general public
It looks really good and I want to try it 
InvIngeniero brave googlechrome browsercompany Ill take a look at it for iPhone thats it",User is excited about the new @brave browser and is looking forward to trying it out.,0.6161653399467468,train
60,Notion,Appstore/Playstore,I fully planned a trip that Im going to take next month it took 2 days to organize everything and now Ive discovered that the app doesnt work offline so I wont be able to access anything on the trip until I get a chip in the destination country,"User faced issues with the app not working offline, making it impossible to access their trip information until they get a chip in the destination country.",0.8754467964172363,train
61,figma,G2,"Collaborative work time saving with comprehensive templates easy to create good looking charts and flows without design hassle
We use Miro for different verticals in our agency from information architecture creation to user experience workshops to process design It has an amazing user interface easy to learn adapt and use for all level of users both for clients and colleagues
Time to time when you use Chrome browser you can have some level of performance issues on low level devices for large boards Its rather a system issue then Miro issue but performance optimization can be an agenda","The user appreciates Figjam for enabling their fully distributed team to work on problems and create in real time together, with multiple people collaborating easily and quickly. They find it accessible even for those unfamiliar with design products. However, they suggest having more preset options to start from, although they acknowledge the large community.",0.4825533032417297,train
62,Notion,Twitter,"New Workout App 
Made in NotionHQ 
heyeaslo NotionHQ are you on your phone at the gym nah bruh Im just entering my reps into notion
kylbau heyeaslo NotionHQ And when considering the loading time of Notion Its hell",User is excited about the new Notion app and is looking forward to using it at the gym.,0.6925583481788635,train
63,Notion,Appstore/Playstore,Terrible developer support For several months they have not been able to fix the interaction of the bluetooth keyboard with the program All programs work fine with the keyboard except this one,"User is frustrated with the developer support for the bluetooth keyboard, as it has not been able to be fixed for several months.",0.8524919748306274,train
64,Notion,Appstore/Playstore,Even though Ive loaded every new version even deleted and downloaded everything over and over again the app doesnt open,User is experiencing issues with the app not opening despite repeated attempts to load and download new versions.,0.861315131187439,train
65,Notion,Twitter,"Less than 500 followers and looking for connections Contact me lets engage and support each other on our journey also comment on this tweet with what you do and let everyone know 
carltheauditor Hi Carl
Im a real estate investor coach and mentor based in the UK
Love NotionHQ and use it to run my business I help people use Notion on my Youtube channel and am starting to build Notion templates too
Great to connect",Nothing,0.1221043169498443,train
66,Notion,Appstore/Playstore,App has been amazing but last 2 days its not working and never loads have to use it on laptop Please fix,"User is experiencing issues with the app not working and not loading, and is requesting a fix.",0.7259472012519836,train
67,figma,G2,"Collaboration during brainstorming sessions used to be everyone looking at the same notepad as one individual writes notes Now everyone is involved in brainstorming and setting up group activities is so easy in the app
The speed at which workflows can be drawn when explaining the process on the board and how easy it is to set up a table and move columns and rows around Its faster and sleeker than Microsoft competitors
Sometimes when changing how my device is configured with screensmousekeyboard the navigation around the board can change For example I use a tablet computer and if I remove my mouse then it changes for touchpad navigation I feel like it could remain consistent in navigation unless I change it","Users find FigJam easy to use for diagramming workflows and processes, and appreciate its seamless collaboration features for both internal and external stakeholders. However, they note some limitations in shape and color choices when building out flows.",0.2613000571727752,train
68,figma,G2,"It has helped us to execute our duties from anywhere remotely This has made the collaboration between us to be more effective and efficient
Miro offers a better and a great platform to work in especially in the Morden market It centralises every file that I makehelping me to see all that I did at a glance The fact that inviting others to collaborate is very simple and this has made me to involve my clients or colleagues it has given tremendous results The numerous and amazing templates on the dashboard gives me ideas and structure to my research Things that I used to do on paper or excel and other programs I now do them on this application 
The applications dashboard in real time lets us stay connected and I like that in graphic form You can as well tag people with certain action items on your group
Though its slightly expensive applicationits really worth it","The user appreciates Figma as a one-stop-shop for designing, planning, and delivering leadership courses, with a nearly limitless toolset and intuitive functionality. They praise its team collaboration, content visualization, and presentation capabilities. However, they note a learning curve for new users and suggest board owners lock or hide items to prevent accidental changes. Some URL links also display inconsistently when pasted.",0.4153745174407959,train
69,Notion,Appstore/Playstore,Why cant I search like this When I search to find what Ive written I cant find the first letter and the middle is a strange letter Theres nothing I really want to see so Ive been searching for a while If I have a problem please let me know the solution,"User is frustrated with the search function in Notion, as they cannot find the first letter of their text and the middle letter is a strange letter. They have been searching for a solution and would appreciate assistance.",0.5894170999526978,train
70,figma,G2,"Miro is a key success tool for making your meetings to runs smoothly and effeftively at any time 
It has reduced time for manual meeting and cost in overall 
The availabilitybof sharing capability has helped to finish project on time and track the projects effectively
Miro is ine of the best collaboration in the market tool It has great features and its user interface is great and easily usable to almost every people in our field 
It has available templates and its sharing capability of files 
I like how you can arrange and organise virtual meetings efficiently 
The tool is cheap to everyone and i ts affordable
To me there is no much to dislike about this tool itd the perfeft for the collaborstion work i have ever come across I have gained a lot from it It has shown good progress to my work place","The User is benefiting from the product by having an easier and more enjoyable collaboration and meeting experience, as well as gaining a better understanding of the overall project. The User enjoys the brainstorming templates and stickers available in the product, as well as the ability to follow another person's navigation. The User has no dislikes about the product, but they would appreciate the ability to find out who posted which sticker.",0.2679367065429687,train
71,figma,G2,"We use Miro for collaborative activities such as Brainstorm sessions reviews and as a tool for any diagram we might need
powerful collaboration mechanisms 
super easy to start even for somebody with no experience 
range of templates available
Took some time for me to understand how to add something from a template and not create a new board for that","The product is helping the User to collaborate with colleagues more easily when working remotely. The User likes that Miro makes it easy to share the progress of a research project in a novel way, as well as being useful to share findings and collaborate in group sessions. The User sometimes finds difficulty navigating and moving items around the board, as well as unintended arrows being drawn.",0.7181363105773926,train
72,Notion,Twitter,Any want an invite to the browsercompany new browser Arc Have 5 here if anyone was interested to use it," User is excited about the new browser CO, and is offering 5 invites for anyone interested in using it.",0.7242472171783447,train
73,Notion,Twitter,"Ive been using this app on my Macbook Air for weeks and I have to say that Ive grown attached to it I love it For me it has everything I need in one place Its my browser my space for notes entertainment and my everything 
Sirkevin2628 browsercompany love this app","User is using the app on their Macbook Air and has grown attached to it, loving it for its versatility and features.",0.7645854949951172,train
74,figma,Twitter,"This on figma makes no sense Who decided rgba is the default color notation for cssweb Today we have so many color spaces available but designers are stuck with hexrgb 
equinusocio figma Weve hit this a lot with our new design system We use a lot of modern CSS but need fallbacks to represent things in Figma
In the past browsers didnt keep up and couldnt accurately replicate designers work Now its the design tools that are lagging
equinusocio figma Its not a surprise when new features hit browsers  its often gone through years of spec work and Intent to ship  I really wish figma would step up here and be ready to ship things like oklchoklab colormix etc along side browsers
jacobrask figma We also use oklch on our ds but we are forced to stay inside the rgb spectrum because of figma Dunno but they seem more focused on the canvas feature now"," A user expresses optimism about AI's potential to enhance work, life, and creativity and looks forward to the discussion at Figma's Config event. They also discuss a series of posts related to Donald Trump and E. Jean Carroll, questioning the credibility of Carroll's claims and her alleged bias.",0.2425155043601989,train
75,figma,Twitter,"WHAT photoroom_app  figma 
badimon photoroom_app figma Link plz",User seeks advice on learning UI/UX design and is recommended to start exploring Canva and Figma before moving on to enterprise tools.,0.2011650502681732,train
76,Notion,Appstore/Playstore,Purchased the pro version as it said I was out of free AI uses Now ai doesnt work and I cant even export my document as a pdf Have contacted support already days ago and no response Please fix it I loved this app when it was working,User purchased the pro version but is experiencing issues with the AI not working and cannot export their document as a PDF. They have contacted support but have not received a response.,0.8806602954864502,train
77,figma,G2,"We benefit from solving process issues mapping current processes generating ideas and reviewing target state processes This has helped us visualise the problems regardless of region without having to be there personally
Very user friendly Not sure how I would have survived without this during the pandemic Since then it has become a part of our daily work We use this to collaborate between teams Share ideas discuss and review ideas
I find the licensing to be very tedious My organisation has provisioned limited licenses so the others cannot edit the boards when they come to collaborate as they do not have licenses So we are forced to use personal email accounts to create a free version of the board to collaborate and later transfer to paid version to use all the rich features 
 
This is very tedious and needs to be reviewed","User appreciates the ease of collaboration and deployment of design files within their team, but finds the tool to be resource-intensive and sometimes eats up too much RAM.",0.4052493274211883,train
